"","Name","Position","Age","Team","Games","GS","AFP"
"266","Kris Dunn","PG",25,"CHI",51,32,24.55
"267","Kent Bazemore","SF",30,"TOT",68,21,24.55
"268","J.J. Barea","PG",35,"DAL",29,6,24.55
"269","Josh Okogie","SG",21,"MIN",62,28,24.4
"270","Josh Jackson","SF",22,"MEM",22,0,24.3
"271","Danny Green","SG",32,"LAL",68,68,24.2
"272","Royce O'Neale","SF",26,"UTA",71,62,24.2
"273","Shake Milton","SG",23,"PHI",40,24,24.15
"274","Keldon Johnson","SF",20,"SAS",17,1,24
"275","Sviatoslav Mykhailiuk","SF",22,"DET",56,27,24
"276","Kelly Olynyk","C",28,"MIA",67,9,24
"277","Jordan Poole","SG",20,"GSW",57,14,24
"278","Ben McLemore","SF",26,"HOU",71,23,23.7
"279","Alex Len","C",26,"TOT",55,12,23.65
"280","Derrick Jones Jr.","SF",22,"MIA",59,16,23.6
"281","Omari Spellman","C",22,"GSW",49,3,23.55
"282","Sindarius Thornwell","SF",25,"NOP",2,0,23.5
"283","Naz Reid","C",20,"MIN",30,11,23.4
"284","Jeff Green","PF-C",33,"TOT",48,4,23.35
"285","Mason Plumlee","C",29,"DEN",61,1,23.35
"286","Austin Rivers","SG",27,"HOU",68,4,23.25
"287","Trey Lyles","PF",24,"SAS",63,53,23.2
"288","Kentavious Caldwell-Pope","SG",26,"LAL",69,26,22.95
"289","Jakob Poeltl","C",24,"SAS",66,18,22.65
"290","James Ennis","SG",29,"ORL",20,18,22.6
"291","Tony Snell","SF",28,"DET",59,57,22.55
"292","Kent Bazemore","SF",30,"POR",43,21,22.5
"293","Michael Carter-Williams","SG",28,"ORL",45,0,22.45
"294","Gary Trent Jr.","SF",21,"POR",61,8,22.45
"295","Dwight Howard","C",34,"LAL",69,2,22.4
"296","Grayson Allen","SG",24,"MEM",38,0,22.3
"297","Ian Mahinmi","C",33,"WAS",38,35,22.2
"298","Chandler Hutchison","SF",23,"CHI",28,10,22.15
"299","E'Twaun Moore","SG",30,"NOP",56,6,22.1
"300","Rondae Hollis-Jefferson","PF",25,"TOR",60,6,22.05
"301","Kyle Anderson","SF",26,"MEM",67,28,22.05
"302","Frank Mason III","PG",25,"MIL",9,0,22
"303","Devontae Cacok","C",23,"LAL",1,0,22
"304","Nerlens Noel","C",25,"OKC",61,7,21.95
"305","Landry Shamet","SG",22,"LAC",53,30,21.85
"306","JaMychal Green","PF",29,"LAC",63,1,21.7
"307","Trevor Ariza","SF",34,"SAC",32,0,21.7
"308","Bismack Biyombo","C",27,"CHO",53,29,21.6
"309","Cory Joseph","PG",28,"SAC",72,26,21.6
"310","Terence Davis","SG",22,"TOR",72,4,21.55
"311","Ky Bowman","PG",22,"GSW",45,12,21.35
"312","Trey Burke","PG",27,"TOT",33,1,21.3
"313","Ersan İlyasova","PF",32,"MIL",63,8,21.25
"314","Malik Beasley","SG",23,"DEN",41,0,21.2
"315","Avery Bradley","SG",29,"LAL",49,44,21.1
"316","Reggie Bullock","SG",28,"NYK",29,19,21.05
"317","JaVale McGee","C",32,"LAL",68,68,21.05
"318","Brandon Knight","SG-PG",28,"TOT",25,3,20.8
"319","Jake Layman","SF",25,"MIN",23,2,20.8
"320","Moritz Wagner","C",22,"WAS",45,5,20.8
"321","Wesley Matthews","SG",33,"MIL",67,67,20.75
"322","Pat Connaughton","SG",27,"MIL",67,4,20.7
"323","Jeremiah Martin","PG",23,"BRK",9,0,20.6
"324","Glenn Robinson III","SF",26,"PHI",14,4,20.55
"325","Keita Bates-Diop","PF",24,"MIN",37,0,20.5
"326","Chris Chiozza","PG",24,"BRK",18,2,20.4
"327","Jahlil Okafor","C",24,"NOP",30,9,20.4
"328","Emmanuel Mudiay","PG",23,"UTA",54,2,20.35
"329","Zach Collins","PF",22,"POR",11,11,20.25
"330","Dragan Bender","PF-C",22,"TOT",16,3,20.1
"331","John Henson","C",29,"DET",11,6,20.05
"332","Meyers Leonard","C",27,"MIA",51,49,20.05
"333","Darius Bazley","PF",19,"OKC",61,9,20.05
"334","Anfernee Simons","SG",20,"POR",70,4,19.95
"335","Jeff Green","PF",33,"UTA",30,2,19.65
"336","Maurice Harkless","SF",26,"NYK",12,10,19.65
"337","Chris Boucher","C",27,"TOR",62,0,19.6
"338","Keita Bates-Diop","PF-SF",24,"TOT",44,0,19.4
"339","Brad Wanamaker","PG",30,"BOS",71,1,19.35
"340","Andre Iguodala","SF",36,"MIA",21,0,19.25
"341","Tyler Johnson","PG-SG",27,"TOT",39,7,19.15
"342","Damyean Dotson","SG",25,"NYK",48,0,19.15
"343","Juan Hernangómez","PF",24,"TOT",48,14,19.05
